ID,FSCN1,ZYX,ARHGEF15,BGN,TMEM184B,CDC42BPB,RRBP1,ELK3,AASS,Type
S29,6.540299497,6.816491813,6.370416479,8.646988152,6.788110553,6.219981173,6.412985888,5.705413826,5.58601239,1
S30,6.52865731,6.468806947,6.54907838,8.292414417,6.900916257,5.65223202,6.989241201,5.741648261,5.043134634,1
S31,7.163120994,7.055423237,6.140587138,8.390472976,7.202007343,6.057814339,6.632730545,5.759578243,5.175423138,1
S32,6.788811121,6.540015972,6.344530883,8.589334685,7.722182002,6.019701752,6.667870108,6.154611672,4.888366453,1
S33,6.766204939,7.006042646,6.75414202,7.524870966,6.15577731,5.945930456,7.399254665,5.911297888,5.369671085,1
S34,6.842416971,6.535975397,6.557318871,8.390472976,7.335155329,5.900404915,7.208619325,6.257482846,6.078336913,1
S35,7.06027177,6.990199122,6.880768656,8.507135435,7.724045204,6.002549109,6.877269849,6.132475975,4.86892973,1
S36,7.021903634,7.086771106,6.756464485,8.171028649,6.939068241,5.98542558,6.153178246,5.471178503,5.440630782,1
S37,7.053772844,6.932068576,6.56180119,8.646988152,7.118581386,6.138265133,7.056773769,6.012810399,4.973270945,1
S38,6.215783291,6.67061379,6.783844689,7.64949263,7.056956476,6.231659851,6.200666913,6.037402644,6.156964749,1
S39,7.033621152,7.127464182,6.715591291,8.108960213,7.034341697,6.025679095,7.361802571,6.122604028,5.338338304,1
S40,6.532159858,6.545997008,5.239992684,8.012016701,6.434851429,6.213484306,6.761385266,5.099303855,5.002329828,1
S41,6.925308569,6.280783922,5.973957999,8.370232453,6.915593169,5.890774253,6.326187787,5.654808922,5.490482949,1
S42,6.650297814,6.786237099,6.426331369,8.616407646,8.138037341,6.32228569,6.884696973,6.277683742,5.131427166,1
S43,6.87383989,6.670174132,6.762914937,8.589334685,7.320194179,6.079624193,6.73907093,6.585616991,4.642694135,1
S44,6.786003342,7.368931722,7.005730855,8.932518495,7.413466388,6.057814339,7.443685678,5.994860284,5.879910299,1
S45,7.056995135,6.969918674,6.86155637,8.890152589,7.196058161,5.960466094,7.537672574,5.971765755,5.215927504,1
S46,7.130910058,6.967714338,6.242981967,8.589334685,7.145438051,6.086622613,6.308049309,6.293648418,5.269716901,1
S47,7.12740409,6.770600196,6.915957644,8.706716543,7.321841371,5.943828101,6.906961819,6.201250385,5.045955918,1
S48,6.702623197,6.502113074,6.851163827,7.408248566,7.042325247,6.067166137,6.854875182,5.853903714,5.457525537,1
S49,6.898703541,7.016650742,6.198209869,8.706716543,7.206553715,5.760851285,6.664636107,5.933326702,5.5763151,1
S50,5.650640146,6.708640144,4.474177568,7.039625749,6.24750101,5.26542392,7.220770719,5.251668811,5.36298172,1
S51,7.672575671,7.076682456,6.906735255,8.223455531,7.805848239,6.131661986,6.565928754,6.773260225,5.685748247,1
S52,6.07304274,6.271841609,6.863224085,7.921865866,6.235006463,5.644576079,5.874130322,5.336438407,6.028981583,1
S53,7.513481641,7.144643895,7.183457221,8.507135435,7.822593662,6.411408127,6.900934279,6.547966747,5.783064979,1
S54,6.836944595,6.617977439,7.015584701,8.535513659,7.131440265,5.748833412,6.85674342,5.789251638,5.04559241,1
S55,5.417528821,5.56335834,7.465271191,7.791840026,5.769386889,6.228864342,6.473420242,6.60660205,5.103342771,1
S56,6.824491983,6.755022397,7.345968742,8.737834502,6.880925908,6.459620677,6.620313514,5.596857437,5.227835542,1
S57,7.130910058,6.542745218,6.489045286,8.412531447,7.197525912,5.465643692,7.151094462,5.939870081,5.763966865,1
S58,6.600581772,6.782726102,6.324385272,8.535513659,7.122899809,5.315252309,7.478030063,5.677825414,5.423588737,1
S59,6.516476464,6.307642676,6.992634486,8.804337288,7.434226372,5.982719127,6.559093703,6.3039493,6.005810931,1
S60,7.246529915,7.345875755,7.827413676,8.989330469,8.098348742,6.041074179,7.060555759,6.208893309,5.702854566,1
S61,5.742859618,6.530381691,6.132350741,8.561979485,6.512323493,5.253600258,5.738533896,5.597566564,5.34228074,1
S62,6.196742927,6.119008539,6.882884079,8.151672537,6.823026553,6.512926434,6.278879896,7.153836561,6.579711117,1
S63,6.518381458,6.169623232,6.240620946,8.121128326,7.340098497,5.932779121,5.546514327,5.997855063,6.035850431,1
S64,6.988336753,7.015431903,6.493149231,8.349486323,6.950058181,5.758537645,6.859977588,5.905960861,5.965403167,1
S65,6.948325978,6.399120149,6.826609264,8.171028649,6.963021891,5.099645837,6.566607463,5.511636184,5.568339331,1
