"ID","Type","GFAP","SLC5A3","KCNE4","GOT1","CKMT1A","SST","YWHAH","RGS7","HSPB3","RAB3B"
"GSM119635",0,5.7056124665969,1.53173031291834,1.06929854403597,5.85809310561171,4.9620413600251,4.77900644112074,7.21289167353409,4.88790254304183,1.74324842862367,2.09888044289736
"GSM119636",0,5.38706305568866,2.87457767301528,1.82127865690282,5.67565875507796,4.88785626510439,4.19305977457764,6.70037348077495,4.54513570511874,1.53820985044925,4.2059316717043
"GSM119637",0,5.92893158227844,3.36913913890247,1.59736065665129,5.81102680330985,4.97272925393943,4.39698135947025,7.34437236903382,4.89045094987581,1.62877827236715,1.8418006388118
"GSM119638",0,5.81158351224669,3.18437948511663,0.969631068309291,5.88288804332326,4.76929746046016,4.15156472771175,7.32252837046348,4.47182321698314,1.73728999748335,3.40784336877678
"GSM119639",0,4.6032777135716,4.07259530539398,2.69654965900534,5.47203892086819,4.82127192692678,3.92582753157158,6.79993941396459,3.91166549483963,2.58015036696928,1.74843260888831
"GSM119640",0,5.87035173997583,1.85987478697738,0.65490793218035,5.6070731069644,4.83057543226751,4.9343122369502,7.2956635971521,4.52462732767585,3.08251462326624,3.52153768423969
"GSM119641",0,5.45860340397809,2.54621128093987,2.65021838465871,5.71027780718658,5.23447351721946,4.105451231223,6.01371604684459,4.58385469442151,3.93260794682711,2.06333867502367
"GSM119642",0,5.01365903556974,2.77492762658335,1.97761363912367,5.65699620401733,5.49974323196783,4.01374366382686,6.21137250171536,4.71417875624688,3.63611100885021,3.01891164978932
"GSM119643",0,5.11216760162706,2.74965126308626,1.82504697830364,5.25773299497786,4.87600298202794,4.15213948306002,6.04851791960145,5.06673226027447,4.39453028002343,3.17735977767471
"GSM119644",0,3.89879540491574,3.78673963121217,1.44602679727598,6.08375544378721,5.40684789010743,3.88532152472272,6.41211820960932,5.29677272846025,4.38756785708143,2.38410319037456
"GSM119645",0,5.55813098799082,2.62626322179856,2.54871581072768,5.07555758957084,5.46519972286468,4.06283104573649,5.72477207946512,4.60480802001281,4.47854145548156,3.87060966791979
"GSM119646",0,4.69791806329025,1.73829137184963,3.2475848130102,6.17211171446977,5.48310354473785,4.23048682265451,7.05259265624682,4.30618746242956,4.5891231690033,4.03405522717968
"GSM119647",0,4.67712875248057,2.04751401023496,1.90761137800811,5.83853150496941,5.3657897364468,3.69898473562416,6.41233072180901,4.94715509098368,4.65345134537375,2.59256069028842
