"ID","Type","S100A8","ADM","IFNGR2","C3AR1","TNFAIP6","SLC43A3","MAFB","MMP9","IFITM3","ALPL","ANPEP","EGR1","TLR8","STEAP4","ADAM9","PGLYRP1","TPST1","ANKRD22","RPS27A","CXCR4","CNOT6L","PMAIP1","CD83"
"GSM4683531","0",8.44573086859222,5.46041815237219,7.43917655314874,5.30749001486119,4.83403562988992,4.67258757347272,5.94584180917151,5.9995425466042,7.28553534014864,4.85890948549097,7.1428142111736,5.83351908569063,7.21107113099427,6.32068592070261,4.30270965037004,5.67648250284021,4.05779916901556,3.72304632661101,7.67190102407479,8.25128900416158,6.00040040551756,5.54668293454907,5.00701399963845
"GSM4683532","0",8.34630092333995,5.64901304097499,7.08693013747695,4.71991870523398,4.51066007189073,5.6440747383301,6.36239300866068,5.52033989181995,8.77532558918839,6.12717436009442,6.89239580857174,5.2115236326511,6.83608023520897,6.05396436074863,4.17707765770581,5.27490443291157,2.88383703483163,2.51742946263737,7.6594825621743,7.88679471514419,5.91895229385273,3.441755447092,4.6896923848565
"GSM4683533","0",8.69886152720714,6.34317306673212,7.15713314838157,4.81387829155369,5.2794993334434,4.91885272579626,5.99116114318032,5.7780511398135,8.32189741085623,6.44203610994947,6.62355415696929,4.2436447240579,7.34039047688178,7.20118615890241,4.20275713209653,5.44759693931059,3.2282052791703,2.32596663775508,8.05370703943141,8.12900541944442,6.68257427170972,4.52555786787545,3.97988626175274
"GSM4683534","0",8.54923155920437,4.91594282919001,7.06808899749911,4.7768438316423,5.165771562768,4.72193090276766,5.63753987669506,5.20654344442467,8.35664748412005,5.86304686078455,7.1268378729889,4.20672116629945,6.9713690910201,6.30917887525393,4.30069076066079,3.87884260098163,3.81276104884387,2.53738370853548,8.04461719107076,8.40769095772099,6.3377415998407,4.38412823950207,4.68795008053302
"GSM4683535","0",8.77974868873225,3.8830540318468,6.62746684320142,5.1575883403246,4.54114959095759,4.17285740325653,5.20973233460448,4.99534626773893,7.26256019714229,4.41092494179321,5.88605245173779,3.19499237272125,6.04504725729531,5.67388996186542,3.5714827825655,3.52074819464144,3.22546145048215,2.57710783745993,8.46329494524084,7.85998847123496,7.08013271192725,4.7699265537893,3.73933828783512
"GSM4683536","0",8.77405507707968,4.90339536625993,7.6424342657106,5.16208371205331,4.65867700086849,5.29475218314224,6.0235723203444,8.16387533797497,7.1619040693945,4.72581093225122,7.71969672840336,2.94194865613716,7.06388301292326,5.57982272669779,5.09935540127229,6.52078328651296,4.14239550406134,4.6417029717814,7.53566102566528,8.9813423945681,5.55449894897483,4.91897942957071,4.49558013314029
"GSM4683566","0",8.59641327732157,4.34918669674631,6.83724830514727,3.36347588579875,4.17652470076106,3.3628660110305,4.52720934785326,4.1341666071623,8.21370202554451,5.12880531730108,5.83936813808754,2.80884263356005,5.93350632504131,5.82223171284057,3.00722620350283,2.81506280838718,3.10520082990695,2.05413465850536,8.89238145795477,9.22735762409616,6.5397373627658,3.84732338954136,5.46441993806183
"GSM4683567","0",8.84351581488336,5.42663547234239,7.62915421178499,5.86948469035429,5.90632637626779,5.24343728259236,6.73534165760095,5.73806671560137,10.2222756823031,5.17236434939512,6.36751069449506,4.81434859770793,6.44993700152154,6.0712801468289,3.85727324490811,5.14151872222756,3.5866952478546,3.30533371913251,7.76859319855221,8.7016834653456,5.85161693605232,4.08736611020959,5.88472592546424
"GSM4683568","0",10.0293534322997,5.01661178156138,7.55580236699585,4.22782778000041,5.16348440211804,4.55669772794743,5.78264702452764,7.24718509637431,7.69263534378646,5.61814959028619,6.3029975938677,4.46187951543902,7.03683733460087,5.88111857790017,4.50106067474623,6.90914435717284,3.57655751787191,5.26712258882192,8.89238145795477,8.39934711271843,5.65679078009543,5.10444338293703,4.79452586118618
"GSM4683569","0",9.3312623264752,4.64618578773682,7.50338027297965,4.42656584717015,4.51937385353954,4.19426697355449,5.40343802558852,6.08787802452611,7.79028947743676,4.10163701015014,5.7123334317981,3.86816073297415,6.40977042558042,6.16671034439709,3.31160988285184,5.58877527200227,3.60461916247017,3.19158107041461,9.00154641062268,8.61797119638162,6.15730524454374,4.3792417072306,5.27316080421773
