"ID","Type","HTR2B","CA3","BHLHE22","DPYS","TIMP4","CXCR5","AKR1B10","CCDC82","ESM1","CTNNB1"
"GSM2040817",1,7.34903476892342,6.90826269838808,6.59896640571504,4.46757098386086,7.51473874772176,4.57065325897507,6.25442618594215,6.62677949588828,6.28808179592657,10.2526043322796
"GSM2040818",0,5.22737088485175,5.08272539910933,6.33931923398032,5.60664419906661,4.88956656043192,3.94641110858986,6.49759688129021,6.30491349996279,7.46955762437657,8.96441567042115
"GSM2040819",1,4.84652839435041,6.6079267756397,6.32405128491447,5.38113743888076,8.68318699819706,3.81169113506412,5.9496112825589,6.57232666028141,5.74689019951848,7.8216202522266
"GSM2040820",1,5.36685123200918,6.46176656121635,6.16415850135754,4.40705601399889,8.15388997000144,4.19968341390986,5.13468594696034,7.23973458208583,6.20479791775612,7.48483063799698
"GSM2040821",1,6.11191841719783,7.31376618748946,6.80314599271476,4.89001775716014,8.52395683403723,4.257555955993,5.88953080449175,6.11544827476903,7.58288242383019,10.3119546503508
"GSM2040822",0,4.81903371840967,4.65872714303697,5.3181412431259,3.10641781770218,5.37642905911473,3.47489800405331,6.15099212827757,7.11591832377432,6.77150483104825,9.10794806124257
"GSM2040823",1,6.59962642997759,7.76781473639339,7.86393734948729,5.81011527538993,6.81466583250669,7.25740692387322,5.24751941060937,6.97410944218792,5.23417316489551,9.67291871665984
"GSM2040824",0,3.58393898355718,4.23351175774816,5.06353960192158,3.27787045586535,6.95663240085045,4.9440359695951,11.6153625610851,7.39678850339102,4.52743521891053,9.18217685052077
"GSM2040825",1,7.14932099180338,6.65948661750098,7.2138098968363,4.80131828660807,6.27661231385024,6.04477789812899,5.28596836770214,7.77718936416654,6.03704657255622,9.51686287926159
"GSM2040826",1,4.4923838570604,6.56206302543888,7.33549761629242,6.26312088041756,5.69674478798266,6.35278651373871,5.44302424977231,6.00726013571497,5.8508882190742,9.48459629311292
"GSM2040827",1,8.23755531809659,8.99461774063348,8.57501967534854,3.62973362515639,7.91486373508751,5.13897835609944,5.11477211693545,5.45905792751115,3.08203820994502,7.48630465325461
"GSM2040828",1,5.7542667552364,5.70921573533141,6.99297877244957,3.97580696603045,6.48444232876557,4.26929810527825,5.64807029983792,5.90587541072358,5.23231781185289,7.76844506786913
"GSM2040829",1,5.49727267754861,5.790008293536,8.16992516303359,4.14879719278079,7.54949379658818,3.3550262620506,4.8208038760596,5.98853514035878,6.76423603231785,7.33536644319442
"GSM2040830",1,5.62926283959008,5.20561941393775,6.95489461008781,3.78319346366898,6.04747892618386,5.72447892263546,5.17421386829239,8.18944260663892,6.78804904088084,9.19186266312454
"GSM2040831",1,5.30409315545999,5.95504268765546,6.59085227319756,4.71210533744932,7.10721399803291,3.87903497427233,4.95233845966293,5.7021781274144,4.78926855528599,7.10726281529272
