"ID","Type","CDH3","ETV4","ESM1","GRIN2D","WNT2","LRRC8E","CA7","PMP2","CLEC3B"
"TCGA-AZ-6605-01","1",10.1900092132457,9.09236899898965,7.02559333265568,7.18921439288091,8.92527655792221,6.08872218172986,6.07769447965612,2.85773572213393,8.11676821009429
"TCGA-CA-5797-01","1",11.2233400523193,9.57873102823412,7.24165925770559,7.85167440503084,7.10239897217371,5.9706046103635,3.06430675452144,1.99378079110308,6.50221039258423
"TCGA-D5-6930-01","1",10.2442134483415,8.75965400588621,5.7874445980426,7.91341254225783,7.82813496009113,7.01431821455774,2.65346673679067,2.14977696531903,6.69746515488017
"TCGA-5M-AAT4-01","1",9.98064952902585,9.95789527739723,6.23377676671124,8.03093361177783,5.82925113773282,7.27729695835455,4.11901249147723,2.3347216833074,5.25973784335396
"TCGA-AA-3685-01","1",9.02467380985275,9.53704819482846,6.37084810523169,3.60199493473587,7.75937045149467,6.4970969699784,5.74298046482066,2.08116969267878,6.22828193810505
"TCGA-D5-6924-01","1",10.3462776856778,9.72508824149254,5.73880638114825,7.60834020848783,7.69833229217872,6.27842345861109,2.53398897856235,2.20798449301155,6.96059318324537
"TCGA-CA-6718-01","1",9.86845677958744,8.69451289628141,5.67120606221291,7.53220404414197,6.03971689213366,4.96023136216248,1.26989666732715,2.28745717082108,5.31426940657653
"TCGA-AZ-6603-01","1",6.17177246699039,9.60835761610316,5.66168249526856,6.98093298487337,7.74724008312429,6.56868067549326,2.73768613578326,2.93976953116192,7.13721191616816
"TCGA-CM-5862-01","1",7.40110671058881,9.72022835957081,8.0919777348796,6.40056434200329,7.4264420609979,7.38275589188392,2.23637637355902,1.63949097254794,6.45212606364389
"TCGA-AZ-6598-11","0",3.40999878238076,4.30607540590717,2.30291396611993,3.50374543056389,3.92030160739778,4.61692548313416,11.3652228295396,6.28374467139474,11.4753919219841
"TCGA-AA-A01Z-01","1",9.97330357519357,9.9199508147006,6.10376307155133,8.56260526240294,5.96716647238976,8.08932183199696,3.71586520667062,1.63949097254794,5.71822652054563
"TCGA-DM-A0X9-01","1",8.58002099833842,9.46882292938871,5.57495001059682,8.75942855458813,7.09583157528528,6.3597240058459,2.63199119071073,1.63949097254794,5.50147679255225
"TCGA-A6-A566-01","1",9.33264735915441,9.31844696761808,8.26960926476126,7.16577048484966,8.857207420761,6.07508294518718,3.74158778238577,1.63949097254794,8.00950515466815
"TCGA-A6-5662-11","0",3.43548701613215,3.52662511307495,2.40554740631483,2.28398377187045,2.15908028890767,4.32916433568464,11.5277318125624,5.67621330235868,11.1220485696079
"TCGA-D5-6534-01","1",8.92873120070998,8.34964819837363,6.16498600190786,7.48878381576255,8.91685483720647,7.45362643470373,4.47424046077711,3.91362027447625,9.15731514560526
"TCGA-CK-6746-01","1",10.4821778315749,8.7348872999389,5.03380733172327,4.29325100112354,5.34534988229507,7.66712951653199,11.2482527289399,2.0602925927464,3.95150975866503
"TCGA-A6-5656-01","1",10.6439001182158,10.0711679098808,5.17997707794949,7.81360632285791,6.69568394604816,6.43255574607708,3.77660574371761,2.73456859353656,5.34592947920478
"TCGA-5M-AAT6-01","1",11.2241191686349,9.59845093372424,6.34457326428701,7.68311949069684,5.61785822141833,6.5165306534183,3.26023104618356,2.20441443131308,6.56065975743637
"TCGA-QG-A5Z1-01","1",10.2043672139179,9.59088073303846,6.80476562413359,6.09029062670867,7.65228325046694,7.08902200686341,2.54729099591037,2.87667257114323,5.69006070342485
"TCGA-AZ-6605-11","0",1.8808160596285,3.68896386111446,1.99901014237794,1.67708054499071,3.38254769747494,2.4340236189469,9.48715427179512,6.99736896090504,10.867179690624
"TCGA-CK-4951-01","1",10.2890682876507,7.93581056088429,6.73180829879206,7.36221686533017,8.56932364656955,7.29164935759228,3.19075605196227,1.98012142460457,5.47616991175576
"TCGA-CM-6680-01","1",9.48924973857885,8.35469499883081,8.00584047314188,8.12041245046945,8.09716644203816,6.85189541076189,5.47750104630261,2.3739147519537,6.15585555122304
"TCGA-CK-5913-01","1",11.2562855422338,8.84787955461926,6.68699651504499,7.8711984313334,7.32955364102043,7.46182780569672,2.21361870532506,1.63949097254794,5.62557580633254
"TCGA-CM-6172-01","1",8.05066711309134,6.98682515639768,4.95013599356935,7.6528911719813,6.55313280182292,6.35847597112957,3.90626034654351,1.63949097254794,6.64378068390184
"TCGA-G4-6309-01","1",10.7962730090701,8.84283275416207,6.17867612939036,8.10639133505527,6.62359710726109,7.98662640391089,7.03543972871369,2.48738062593565,5.16443996587764
"TCGA-F4-6461-01","1",7.25507805258961,8.29712408991179,8.12233410451472,7.66314317034867,7.29617581212866,6.82880676850989,5.08797630938253,2.47775698135716,6.90881466981656
"TCGA-G4-6299-01","1",10.3480585229705,9.32826019072928,6.38547358303908,7.6671384344183,5.86340160155264,7.91147688492082,2.92471570500183,1.63949097254794,5.37060104081809
"TCGA-CM-6168-01","1",10.1898979109149,9.28209131247279,6.75536212060978,7.47966255250923,8.7243914766292,6.76792050342067,4.86865328840942,4.5300767977585,7.40658724983458
"TCGA-AD-A5EK-01","1",9.2611912627859,10.4349113798691,6.54006148218932,4.49768790974331,6.79890797243565,7.83534676722507,2.34415476713185,1.63949097254794,6.4586910285367
"TCGA-AM-5820-01","1",10.832223661916,10.1250004480908,7.10314237777395,6.94497560824667,5.85637062370738,6.56377768196484,3.99953473324892,3.04384459067615,5.60355140798245
"TCGA-A6-2682-11","0",3.55135274248669,4.26074766106021,0.511548030257441,3.55131168769482,1.73706709120673,5.21624958298024,10.6499589328623,4.24221265012574,9.15393562666071
"TCGA-A6-6648-01","1",9.48947234324044,9.77265900876492,6.59048536788574,6.73880490578535,5.0247836506471,6.78307521069031,6.06904015511644,1.89304296317656,5.43805076076523
"TCGA-CA-6717-01","1",9.90162487416347,8.72825169193038,6.55273122749921,3.61315152119447,7.38217007962064,6.12750040327278,3.33211001944366,4.56251779319247,7.16188347778148
"TCGA-AU-6004-01","1",10.3086574978701,9.28003520858283,6.80391530565641,8.35161009012169,7.92440527212617,6.49914731272664,2.23878035259782,2.04570190580481,5.37790721142461
"TCGA-A6-2684-01","1",10.0606759048653,9.05573296604118,6.78597358578804,7.57283512590674,8.04300473358185,6.92125048285474,2.02851231933752,3.822738921239,7.31912497561742
"TCGA-AZ-6599-11","0",3.22946640183603,3.82027413226905,0.888154083797811,3.73893833428576,1.81054467286429,4.49952107446284,10.073965555166,5.65549142250014,9.17934839398773
"TCGA-DM-A1HB-01","1",11.8149119404792,9.91275445108572,6.53623504904203,8.32680929995358,6.30388077403398,6.9033322701418,4.13103238667123,1.63949097254794,3.87167131464598
"TCGA-A6-2685-01","1",10.5717762078625,9.12741622438678,5.06926561222143,7.62198441219734,7.1207104199685,7.35431852941911,6.7388688479605,4.4436968266628,8.95337768780592
"TCGA-F4-6704-11","0",4.00413062414884,5.48562482387305,1.591282432573,2.77268748816175,2.80585298717837,4.43631703061472,10.7884281254971,6.57191073849118,10.5952630802249
"TCGA-F4-6856-01","1",9.74535640173141,8.61124068873782,5.99067071408719,7.938137950085,6.43090195620541,8.01301342362745,2.28093011841143,1.63949097254794,6.17216207692454
"TCGA-AA-3492-01","1",8.91181324642959,8.01936314623105,5.45854141107169,7.55806018708319,7.74978977838685,6.3542861402962,3.84880524751621,2.08497258448803,6.71006565201315
"TCGA-G4-6294-01","1",8.5621013230809,10.6514565031895,8.15668697099255,7.52903798582264,7.43463199123523,6.81962479881123,2.94106276246567,3.89375210502387,4.9413370460525
"TCGA-WS-AB45-01","1",7.20922149230328,7.22037986644417,6.30588377357559,7.47340581821151,8.83109236019291,5.84883208018505,1.26989666732715,2.52579759421272,7.98049224530314
"TCGA-CK-5916-01","1",10.6526930023484,9.75723822959018,5.6985012853302,7.70694031043277,6.72326701297955,7.15873366030379,1.26989666732715,2.89964514207254,4.39888035015113
"TCGA-NH-A50V-01","1",10.3936924785952,8.93348824385599,7.10263218668764,8.09289789602763,8.37376974628008,7.09258782033863,2.64825811553994,1.63949097254794,6.22965846300193
"TCGA-NH-A6GA-01","1",10.1631853515248,9.85780040166302,5.03040605781458,8.01872167254612,6.51496463637725,7.56202716435014,3.71786852253629,2.61621328722843,6.01703830969919
"TCGA-F4-6460-01","1",7.30182503152229,9.03834954224421,6.26846976057994,7.9403994203131,7.74013184178623,6.03862250240315,4.62448915070206,3.85859475829759,8.08807296032086
"TCGA-F4-6806-01","1",9.5615962535937,9.31283941155454,6.36948759566821,6.93879425628987,7.76671048331115,7.0452516464552,2.96926944985424,1.63949097254794,6.59168451088145
"TCGA-G4-6304-01","1",10.2507802858582,9.19648262323607,4.98142771352935,7.50257878415393,4.51507638861248,7.07654165970018,3.00701192076339,1.63949097254794,3.95553344682515
"TCGA-QG-A5YW-01","1",10.2963029391522,4.62062341611877,6.89711021075469,7.94507312545116,6.79782628353638,7.17406665824719,5.23814486667284,2.2968479852888,6.74617295892363
"TCGA-AD-6965-01","1",11.0081926468982,10.2387403769129,6.6186309094802,7.93022280428667,6.7101322192027,7.42688283363965,3.27152974766592,1.63949097254794,6.32792116333307
"TCGA-D5-6920-01","1",9.97575222647099,8.15674826978781,6.8180305923775,6.72395458462086,6.26733514193721,6.50636808501395,7.26405813530348,1.63949097254794,6.29551988499112
"TCGA-DM-A280-01","1",11.6667685381949,9.97294221950106,5.84722198698793,8.03153667050532,6.08715667671593,7.47029661270034,5.08421007555507,1.63949097254794,5.63182311163376
"TCGA-G4-6297-01","1",9.43727155009896,9.79583690716089,7.56205925990476,7.50242801947206,7.72668799403816,6.94433912510673,4.31613877265876,4.2297259548651,5.4759581386947
"TCGA-G4-6302-01","1",10.1093150234215,7.88870708995054,5.10021720479056,7.15582001584605,6.4879996773883,5.85917293926316,5.01705892773795,5.02367663259108,8.46439368982183
"TCGA-QL-A97D-01","1",10.9213768288804,10.556595346448,7.37243823949496,7.92788595171764,6.35317488244357,6.38308008410853,2.67157671221629,1.63949097254794,5.15956918547329
"TCGA-CA-6716-01","1",9.91375682821981,10.2158428563201,7.37966594655094,4.23143748155561,6.61115768491948,7.11487415455869,2.41699533200746,2.75047865110585,5.72140311646151
"TCGA-AA-3518-11","0",3.6663280501949,4.21327035305556,1.8898292499088,3.55734227496974,2.88844766098692,2.93332665081331,11.0047061063544,5.08117714926727,10.6527594663023
"TCGA-AA-3531-11","0",4.03640830007854,3.07540376849534,2.0721375314149,3.07316149913462,1.91894535326971,4.17538862956616,11.9981905104554,5.8228186621069,10.2424491605014
"TCGA-CA-6715-01","1",9.44305927130014,10.6023903876336,7.5065334633453,7.80667114749176,5.83388694730113,6.42283890435713,2.62085275449763,1.63949097254794,4.69409199726669
"TCGA-CM-4743-01","1",10.8597153376216,6.57766048229463,7.04906212262568,8.0397533456674,6.28680554212407,7.2097247929993,3.06783259044501,1.63949097254794,6.6353097614595
"TCGA-A6-6654-01","1",8.68208523567476,9.11479922324382,6.68010893537988,7.25947073463373,7.81445932186464,6.87052678616986,3.05172593088505,2.36848204936907,6.26798938705352
"TCGA-5M-AAT5-01","1",9.21310865588372,10.5216415803186,6.47815829705105,7.7251828369394,6.25505024658121,6.39778906469377,4.08199121427972,1.63949097254794,5.60122190431081
"TCGA-G4-6627-01","1",9.64329216439508,9.13545372141119,6.44865224589311,7.53333477925602,6.39543801300791,6.95084673469899,6.37322363615916,3.99379144261808,7.97795096857044
