"ID","Type","DEF8","PDK4","BAG3","VEGFA","MAFF","SLC7A2","SLC16A6","SPA17","CX3CR1","P2RY13","PVALB"
"GSM439800","1",6.39396864057869,3.73856895491755,5.60064470108374,6.44491947469188,3.69557101079404,4.09053600778371,3.2949821706976,4.56006366879213,4.62881288684162,2.5124642061929,7.31402641111169
"GSM439801","1",7.6137379927179,6.32109884278207,6.04901874256697,6.04821225632594,3.57467219816391,4.48629819347831,4.44763780871524,3.6156675515085,6.3026185655516,2.40948478732439,6.29690838587106
"GSM439802","0",4.89765016309733,5.787710014711,5.28265248879517,5.7004939095378,4.60441469460486,4.65907760895884,3.53003274546465,4.21606705240686,4.95541723282035,4.1941311384738,6.97985718311025
"GSM439803","1",7.07954536182688,5.04967743337239,4.21023982372259,4.15571336311596,3.07400341800184,4.23150037960186,3.28409525583395,4.72334671167261,5.42600880615689,2.22443310770458,5.67030080154893
"GSM439804","0",5.74221846542127,2.42834467463778,3.94874411686997,5.64506121510823,4.59092363421584,3.09148035978609,3.81197992122576,5.72605914932867,4.70363823984842,2.63023487180069,4.96333623972374
"GSM439805","1",6.42450094321774,5.77461086933214,5.9525687531424,6.52331454449099,4.32336442943659,4.99381431228444,4.34055159045944,4.61823723173466,3.80143581928713,2.69155620907105,4.49060904661144
"GSM439806","1",6.37263199123245,5.89422025494393,5.42149405374819,6.41510290079704,3.98884770935819,4.5757443115177,4.9038947668259,5.06945778585896,5.82411854150653,3.73339639659616,6.26528873045913
"GSM439807","1",7.05408494052233,6.34998324894939,6.74745798566989,8.23831155618928,4.58061438774924,5.3686076641859,4.54320338644691,3.56398022040082,5.31540092532684,3.13040707875525,3.90154251896059
"GSM439808","0",5.04381457091635,6.89075616897655,6.36132127557852,5.88195306613531,3.92275263618055,5.15450631150239,3.85424501027482,3.0262997676957,5.47545579082633,3.58585772927585,4.76471233044695
"GSM439809","1",5.89838993386747,5.1886298565924,6.60662767459026,6.16818123274219,4.82033398163477,4.51004519444285,4.78182050842922,3.71178971097785,3.7287338643094,3.51077869226784,5.4579501688273
"GSM439810","0",6.46161871820423,6.20311350324106,4.776139394983,5.03360791979249,3.3640192224061,4.45981366954002,5.23669970532708,4.90312056896283,4.13143722735961,4.55712293173481,5.93275681641237
"GSM439811","1",5.76986115472169,6.84688918210324,6.42346396232903,4.59971905608576,3.20845854929262,3.45806807809714,4.41414448471397,4.44889233361861,6.36239753205406,4.29435809133831,4.66251682783487
"GSM439812","0",5.95387548254448,6.66628215714307,5.25493268186478,5.52481997061747,4.33081219918936,4.11300226852492,5.0178903974986,5.57563623544803,2.73863448693737,2.6641082313499,6.57353290489562
"GSM439813","1",6.33241716290727,3.82697351877843,4.13787518761895,5.20977557110203,3.10108363594375,3.57436352356071,5.67905318726512,5.55151159092883,5.48563152142587,2.31088054260848,9.4828170692491
"GSM439814","0",5.89771089173824,4.27193317181192,4.71777311096775,6.35149076401792,3.06786963618214,3.97375206721544,4.50708895917626,5.64686660555538,5.2343499479731,3.85440537468549,5.27636642119967
"GSM439815","1",5.87675481175211,5.75598734413104,5.16538834887839,5.55587512246511,4.39262943857282,4.58216725136261,3.36552797758776,4.857962117176,4.65051397508179,4.28417251609865,4.81642037575214
"GSM439816","0",5.64530576894176,4.44634359288074,4.07264093821128,4.77941262685489,3.06458914899593,3.94051151126626,4.51388840009125,4.68828554721951,5.42765568557359,2.39772390152422,6.26643284882728
"GSM439817","1",6.32598832819377,5.79062762095344,5.29046467626368,6.46319819238126,3.68468238852305,4.58346075765876,4.8676195531374,4.26462195295606,6.04109257762686,4.35561521729456,4.76869171390899
"GSM439818","0",5.87922852346739,4.37870023653384,5.38096527371898,5.77933890103782,3.95323936030974,2.64626970846161,5.39912129905291,4.2047639447407,5.52736411940703,4.09308230837715,5.15303482151646
"GSM439819","0",6.19924647661874,7.15867318327614,6.33679820826906,5.60433615948054,4.79765340995072,4.07165508291561,5.53727957829982,4.84992272571263,6.12366202674435,4.58034643684524,5.2194904861068
"GSM439820","1",6.41933653448024,6.64025800184798,6.26762274967203,6.45472554623799,5.19407177446999,5.53659008993399,4.29937545991993,4.16835911487288,4.63395275203998,2.39292404362468,4.55612918356683
"GSM439821","1",5.85246850315738,4.76652177351974,5.64975915097662,6.42331191524241,4.40392111640046,4.5259704793916,5.00280415836066,3.99623570544033,3.96331263433863,1.92754718092154,2.78928088126501
"GSM439822","0",5.68225986156807,4.05440533991444,4.8340357126578,5.61544476505402,3.69843108889403,3.05262790955424,4.70940826046062,3.72533160630034,6.05580989817273,4.9005714964584,5.80572741467752
