"ID","Type","PROK2","CXCL5","ATP6V1C2","AHNAK2","PPM1L","SLC16A9","FCRL5"
"GSM261135",1,4.52474875230578,3.29390910100501,5.32143203238325,7.47144172606297,4.61922527913957,7.84491724039012,4.91938857656124
"GSM261136",1,3.72940900384739,2.85690277854591,5.82493837435674,7.69514232954404,5.89477256125701,9.09526604080553,5.08210296746469
"GSM261137",0,5.09750307315424,4.07520578804712,5.88988872967551,8.6953487326823,6.81559842347279,8.75313361397999,7.91892775185783
"GSM261138",0,3.50498279419495,4.16440458360233,9.22122966381433,9.4024619820834,7.68240918336453,9.32778602935373,7.16729240755428
"GSM261139",1,3.96276165191137,2.90201786146465,7.14667957881645,7.02787696501254,6.79449148901655,9.43995558624694,6.50876314768218
"GSM261140",1,5.07237531464672,2.92877455335897,6.64036750926657,7.57441193433321,6.10472529821739,9.11690997968071,5.93862478394722
"GSM261141",1,5.33658239548941,2.97176796026847,5.55456152485348,7.11120457021483,4.97572879528341,7.37326195052198,6.9457901150946
"GSM261142",1,5.14336123407398,3.07266544159685,5.13393531672154,7.24444689435905,4.70359110406999,7.92914708589017,6.35709884010074
"GSM261143",0,3.75250093055955,4.67979504751397,7.15481659762606,7.9052352547967,7.40727805606411,9.20962010117395,7.5939838466863
"GSM261144",1,4.81289819031061,4.1019729833026,5.47552470840904,7.35379071810393,5.45953676875303,8.42999356354975,5.3209685099453
"GSM261145",1,4.35455565233601,3.4967649016664,7.85784152439676,8.06554862468881,7.25865074430205,10.3995601562595,4.7304653275245
"GSM261146",0,4.75617819627912,4.27591044497692,6.26208702107378,7.54793425888632,5.77063405095461,9.18818846184634,6.82706212845691
"GSM261147",1,7.54443588224714,3.19752018119626,4.49091549446828,7.38681484451191,4.7465395510099,7.25975599741145,7.20004411079271
"GSM261148",1,7.22116529812005,2.94235917336259,6.10666518598035,6.98812115484482,5.16969363917589,8.54895561503294,5.05101982315472
"GSM261149",1,5.89598508665857,2.67576468925689,5.64988214889224,7.04270099201538,5.99338910487041,8.78345108030598,5.75059472871249
"GSM261150",1,3.93909967876895,2.98175751814531,7.07546703663221,8.07453102338342,6.21662092060358,8.95079619868131,6.090187012237
"GSM261151",0,4.375770225177,4.65227219483853,8.00220985160432,8.90630210521407,7.11984930444567,9.62702224165951,7.75384001742332
"GSM261152",1,8.17671403732428,4.41657038711739,4.19757402944353,7.64059318394077,4.18317487943815,6.5369397277857,7.31105534047119
"GSM261153",1,6.46190975393861,2.99410449381021,4.99091732388409,7.25767495986262,5.57094166391184,8.43050308246393,5.97034592383006
"GSM261154",0,7.63918421191197,4.90557673616411,4.62715250552992,7.50891504633365,5.12923393568559,8.19594283639422,7.37869862057878
"GSM261155",1,3.3793312693132,2.70042917286433,5.92309648892559,7.83600639289952,6.83867656856945,9.69042659247494,5.82743491550834
"GSM261156",1,4.34819215414933,3.39586742033801,5.73802434539593,8.22192216005002,6.95523409961571,10.1572414526584,6.63876112560912
"GSM261157",1,4.99405064826854,3.09438315296923,5.49033683248215,7.62750834575124,6.22253909096572,8.56476131634983,5.46622734197517
"GSM261158",1,5.71425967005164,2.89232298081131,5.40436510448096,7.02346760984468,6.52854677541261,9.08175317460243,5.69299648839425
"GSM261159",0,3.62804699763273,4.27667660575804,8.67881370356445,9.60435111174111,8.66993884119066,10.534825722064,7.93709786577302
"GSM261160",1,5.03356041382989,3.35770671989401,6.03958182777647,7.50700302203389,6.39891627102907,8.53447678588838,6.21834756291409
"GSM261161",1,6.92509196390575,2.85622502093185,5.41331166977172,7.00873565754373,6.02395159659136,8.24431637924139,5.94337147100934
"GSM261162",0,4.05267030958366,4.12197106341749,6.40370744394865,8.65034466450736,7.21471669204192,9.36675361131097,5.73532410417056
"GSM261163",1,4.05434970148324,3.54777352905525,6.10942856295182,6.60281921904019,6.47337922051104,8.51929736823683,6.50955426219253
"GSM261164",1,3.89832208981409,3.44731806356213,5.31561941185706,7.31469989189424,5.80207418800575,7.92405189674839,6.23820198514165
"GSM261165",0,3.53102193620021,4.45813883999291,7.82300326685701,8.30502361036394,7.24372848572437,9.15886989432635,7.80559421829411
"GSM261166",1,3.9350645870069,3.08710462554864,5.73383163550819,7.93571306451419,6.16867687048898,8.29919581228931,6.75485080004761
"GSM261167",1,3.87211227927509,2.96121851566696,6.39611039535185,8.42551978695374,6.72536765176842,9.19034439318662,7.16367836313941
"GSM261168",0,3.78023456729268,5.09134125786216,6.97629821020881,8.67882643895588,7.69672860385935,9.981944625294,5.86325497644143
"GSM261169",1,6.47085766135053,3.40615165543837,4.93793671712079,7.1076545789312,6.25988343296901,8.79247381107788,5.16560382804125
"GSM261170",1,6.34197853715596,3.11218165726898,4.64065664583785,7.13992164667927,5.6052238680163,9.02982470526579,5.69878948819586
"GSM261171",0,3.84312592197673,4.53039369519653,6.800267920831,9.45386012677785,6.63167385865241,9.97769863434251,5.92440047214479
"GSM261172",1,4.68802977665898,2.82360425228975,7.52329292077833,7.45976869996895,7.13303438863844,9.28740774633753,6.30833045851095
"GSM261173",1,4.40112378082856,2.92329355700176,8.04574057080528,7.86741409676336,7.17230238137304,9.16512320693481,4.95248778688147
"GSM261174",0,3.65685340800652,4.53955815684756,7.60753397664121,7.50227543727579,6.74981153137081,9.43882930771239,6.59996122433993
"GSM261175",1,3.34179638249944,2.6276438986584,7.38963441162968,7.19541200034621,6.89246027268982,8.95494665483639,4.58122540311995
"GSM261176",1,4.33498972400341,2.76225245435585,6.47843997132935,7.1144374153031,6.63323852210092,8.28866575472963,4.74927343701255
"GSM261177",0,3.94194300301354,4.34280217471274,9.03735392487385,8.27161072410357,8.15420415430799,9.88903172829816,5.88742224874154
"GSM261178",1,4.65630981060201,3.06429660844929,4.70001101864261,7.85523977507021,5.63490305072798,8.03415044212035,3.87782252412499
"GSM261179",1,5.26621819714935,3.23715426775779,4.80616280989138,8.20529756109928,5.8870877728763,8.25638560852098,4.36047893490871
"GSM261180",1,4.17231823012785,3.38640828146348,5.95586526948762,8.5243057115496,6.19677591152851,9.3978990458725,4.00070047145876
"GSM261181",1,4.18124175632067,3.08913789839083,5.17800112114777,7.2472807490725,4.6108240290069,8.31132873143317,7.00969175167275
"GSM261182",1,6.87748763360119,4.2518752869,4.54890406026416,7.32994337031676,5.92643428196728,7.80038741028644,5.18841854972689
"GSM261183",1,4.52167671869841,2.88103684315103,5.07772547633258,8.00265137278167,6.44618311756989,8.9234838618859,5.4640071173816
"GSM261184",0,3.19819391418355,4.4729316366129,6.81140612992672,9.67307976143405,8.07345008177106,10.1459247958403,5.27823855594726
"GSM261185",1,7.32025057256702,4.11974201988,4.24898766382453,7.5256839559933,5.2191687582399,7.3748966570383,5.00094993059628
"GSM261186",1,3.48570652827288,3.29211156994162,7.15469443079883,8.68328803013077,7.07254735059212,9.00913611435469,5.64313075441914
"GSM261187",1,4.148095488946,3.22580919465282,5.57202056173451,7.94910481837666,5.70721661495405,8.23934856982816,5.85474112602695
"GSM261188",0,3.55678069418575,4.56687473546654,5.83237660818506,9.28541457494781,6.69611615815137,9.12034814141901,6.16443992647947
"GSM261189",1,3.59927424686886,3.8324022592395,5.96109556919607,8.32057508785428,5.79498808684245,8.52272600593015,4.60391252569102
"GSM261190",1,4.42177467341138,3.61051030993964,4.98025555909379,8.24140107475906,6.53374848402279,8.79811036406597,4.9672382445261
"GSM261191",1,3.67570936876632,3.08913789839083,5.08829195226179,7.62907361568322,6.11481465001223,8.55184288887994,4.55432750976797
"GSM261192",1,4.02217868287281,3.06556372051036,5.0157241907199,7.18181563603512,5.68006958473563,8.24529295716023,4.64515255952101
"GSM261193",0,3.58085714805297,4.54409618608955,7.97441726712118,8.24170690703711,8.24146526987992,10.2531042224331,5.31871299508981
"GSM261194",1,3.48421927390742,2.9173705448093,6.59651345786498,8.48260610211995,7.27966368417827,9.75817137810585,4.21636849490999
"GSM261195",1,5.15274800342981,2.9251794912322,6.19471209362295,7.87622257657664,6.64677277903194,9.56708055533435,4.08218526602506
"GSM261196",0,4.55349712185054,4.73071527173577,6.75451867985894,8.86691459385387,7.32990018685153,9.87422383485486,5.75017664110686
"GSM261197",1,4.11655838203232,3.36418961881114,4.87483431578001,8.14046674045264,6.26964890479378,9.40106230913135,4.56624526706908
"GSM261198",1,4.6665621132361,3.08268446719605,5.03196564770929,7.6720929625065,6.77573589438625,9.53948161414971,3.62050614967713
"GSM261199",0,3.73903030700346,5.32174937892135,6.89114173135246,8.9190288751185,8.54335084561685,10.8215150311082,5.45269206539143
"GSM261200",1,8.24545688459378,4.41318159904708,4.99449595000039,7.79791815788808,5.96019631521072,9.73727048764717,3.8280078297957
"GSM261201",1,9.58312028023755,4.64470949355558,6.36039824774742,7.24810942138943,6.35937347104714,9.4826490252641,4.01050008345796
"GSM261202",0,4.29411752239085,4.55099163311958,6.8689606020221,8.56271000936152,7.02100702630767,9.94197923546316,5.50049069371047
"GSM261203",1,5.71678312622912,3.23388335057688,4.59796723607174,6.44780634316233,6.6571958253414,8.42661800074332,4.22716338000287
"GSM261204",1,5.74768632144604,3.65656835997359,4.88630074206392,7.33687966452513,5.98308383309552,8.65843849171693,3.74910053734377
"GSM261205",0,3.6323868546336,4.04503084036013,5.7859603451854,8.88211715018666,7.80963512433393,10.5187121864031,6.06118672296702
"GSM261206",0,3.95936338406481,4.34177080443047,7.16824173938783,7.87207813159712,7.48559812155326,10.7620711577874,6.23921300761923
"GSM261207",1,5.25393006271991,2.9199342366538,5.44286180435932,7.57149623544031,5.04239899639466,8.7862322043792,4.53424340913418
"GSM261208",1,3.83012781997447,2.81520595141984,6.65640780088256,8.1687643654974,6.35542802413904,10.0572059058414,4.95856150473514
"GSM261209",1,3.80783119510199,3.10879286919866,5.38262865650233,7.39395574916891,5.69941405203877,8.59533245120051,6.49156278703774
"GSM261210",1,3.16833619916946,2.91854925370332,6.33405617148301,8.62502520488497,5.34610026287288,7.97187236983947,5.53712141003191
"GSM261211",1,4.00538002290874,2.86040943750563,5.45684809163636,7.78530392373039,4.71057905978782,9.10187917171246,5.70315337791426
"GSM261212",1,4.07582955551567,3.23871605704237,5.20557136495505,7.40451364831793,5.19792026929454,8.99047498412292,5.26543737528314
"GSM261213",1,5.5903299333356,3.53863853512657,4.87650716467462,7.8944942896388,4.79839960439896,8.20935064375593,5.47605247379729
"GSM261214",1,4.60894929248851,2.99410449381021,6.40940848529884,8.17868797225568,5.22659836846237,9.11203770506389,5.35593066733829
"GSM261215",1,4.05789716886317,3.39810696723666,4.41477969446132,7.42570106027298,5.33125085697249,8.0593503984174,4.89024493879277
"GSM261216",1,5.65674437418048,2.63574752230481,4.79318234948135,7.53381722132612,6.11566851538786,8.25112057974114,4.94324961098638
"GSM261217",0,3.87073765261433,4.28183345716939,7.06203700988291,9.22122827721433,7.5834982034147,9.98121219185486,5.81566050670571
"GSM261218",1,5.42039283616645,2.78084658715906,6.08250416586967,8.42473203672653,8.48444810010814,10.722892367215,4.04084315290342
"GSM261219",1,4.63997439380096,2.78788937280085,6.84201991462503,6.86156959237062,7.26993747053169,10.5780510008825,4.50170563491807
"GSM261220",0,4.39939562649077,4.16838272611965,6.82922514694963,6.86239718129267,8.08815226950323,10.820474763325,6.03635593527112
"GSM261221",1,5.24573797310028,3.42224103184178,4.97208189234294,7.91679682853886,5.20658651212999,9.1037049478216,5.10476457021285
"GSM261222",1,4.78880954583383,3.24838146997336,6.0870250929456,8.04586509953114,5.41536150374467,9.28760943090772,4.78288304379107
"GSM261223",0,4.59312879350742,4.31133064724232,6.51003922526835,9.92839267922759,5.53576218538809,9.54736745140968,5.57791783643335
"GSM261224",1,7.04367002302802,3.34742248479366,5.08745552781449,7.63821970273673,4.59970415003457,8.63827003469738,5.31599214447695
"GSM261225",1,4.53785365757528,4.15637039876178,5.84731008140927,7.44261211385179,5.27586738209088,8.65998827841422,4.60113086499333
"GSM261226",0,3.42564630722387,4.43282606649376,9.19694159188887,9.74497987308067,7.5231387544475,10.3465372533205,4.72555575108589
"GSM261227",1,4.49229734967563,2.74961080146745,6.24029193217531,7.87146538364613,6.24809616496745,9.6670630272644,2.76671495424646
"GSM261228",1,5.47634773401483,3.6064142965329,5.2273184005849,7.11491824985736,5.44613991544567,9.2274437391252,4.9976578734403
"GSM261229",0,4.88939717747456,4.09975240076515,6.09367984058277,7.73291233496522,5.78694582399258,9.71096548277033,5.27826407577018
"GSM261230",1,7.39031000566825,2.8185652717678,6.21255228594832,7.03025044621658,6.70230347208177,9.44782128448456,4.4012085722804
"GSM261231",1,6.14678249699294,3.16451633216361,5.36939409246274,6.92216497673074,5.36924295891591,8.6380152752403,4.88177235758513
"GSM261232",1,6.32550902364982,3.91417518876236,5.46992384090748,7.0185262675104,5.92649316923456,8.30371779265264,4.23571252067926
"GSM261233",1,6.05507254132554,3.83340416179942,5.39507973435078,7.58590081102347,5.16460970510028,7.8992659245691,4.87559656043979
"GSM261234",0,4.52873799384835,4.15812795874165,5.67106315401928,10.1448909949171,6.11256296844539,9.96624507375089,4.57432528049401
"GSM261235",1,4.4133875340389,2.86636191742044,4.95005957778106,7.75046899485208,4.71544707388338,8.22376578303621,4.34284473727472
"GSM261236",1,4.29604072648149,2.55488809217482,5.40849428846131,7.27561929620698,4.71597705928895,8.15658359120637,4.12337426020921
"GSM261237",0,3.62273189186761,5.05282694474996,6.91379930498824,8.82018156738805,6.83521769802327,10.0058707843056,5.21124902079645
"GSM261238",1,5.90816350560204,3.02607697256059,5.7771563043482,7.76079159198518,6.89819196670557,10.0895178969822,4.51931431272914
"GSM261239",1,4.02733531071374,3.48491887728146,5.62747867888602,8.05892947667581,6.91421911795165,9.52690286595594,4.76410045412593
"GSM261240",0,4.34189252122915,4.60683296697393,5.45527623426653,7.64664856982517,6.15357795010944,9.43983773056337,5.58271556314129
"GSM261241",1,5.70683558883385,2.98882977150945,4.99631702601224,8.45966927082915,4.19358811120306,7.29742855212849,4.78451631245761
"GSM261242",1,7.04969218414721,2.82174778578167,4.48641574269482,7.98402159143441,5.23146638255794,8.54320229729368,4.09639980738849
"GSM261243",0,3.73988364967217,3.9725991788224,7.11991969916647,8.36727633935792,7.40695417609405,9.91318080183472,5.79626544129061
"GSM261244",1,4.49813665165153,3.8882141253715,5.51429668721943,8.20845879253053,6.18976832672158,9.95449538472506,3.62512523762467
"GSM261245",1,6.09450916322957,3.07139832953578,5.71801368456806,7.39022160848151,6.91367931800154,10.2446345614173,4.9574386325269
"GSM261246",0,3.57570052021204,4.76239307326264,6.72956358590588,8.15700841182904,7.12197906061248,10.9957174248701,4.18759788404624
"GSM261247",1,3.39810480802485,2.87912144119825,6.36078999084299,7.74192650862201,6.90238277722735,9.73593300049746,4.1544829243421
"GSM261248",1,3.21852493869926,3.00606838908454,6.37023417574164,7.83809341947548,7.02596752216963,9.76279950824297,3.25549612252969
"GSM261249",0,4.09027834005474,4.89122595537938,6.06969881054303,10.5279626768317,7.22312775671914,9.99744249226691,5.91753563978077
"GSM261250",1,4.82861188602445,2.74887410840868,6.33662897073231,8.30730610026098,5.78020738275389,9.18079091354578,3.20736573651276
"GSM261251",1,6.94741296999734,3.3568816236682,5.35227386042112,8.3838917911811,4.73297585044524,8.08563308240708,4.05360306436071
"GSM261252",1,4.33936615283294,3.14886897159545,7.03988194084256,8.46191998576402,6.56696090277157,9.18079091354578,3.81989252610886
"GSM261253",1,4.02950523921418,2.74253854810331,6.60097085903351,8.90347956441793,6.89851584667563,9.58244042760134,4.73528857405536
"GSM261254",0,4.13873601302801,4.02755648100623,7.88509984133078,9.92967149453149,7.30286111662313,9.76090895133716,5.9296575556652
"GSM261255",1,5.97601643837418,3.27661154798522,6.00443082568731,8.61675894276054,5.45717146351708,8.69408358575463,4.07830625294204
"GSM261256",1,8.44943016363498,3.90209342259862,4.84215023642784,7.00747730328469,7.91898311600322,9.89233407719535,3.88228849313504
"GSM261257",0,3.82800956613098,4.49665315310511,7.18248213029443,10.0321813292923,6.97375980885595,10.4172754625722,5.50069485229378
"GSM261258",1,4.18514275137763,2.54033103733363,4.61239820470051,7.63070026874978,5.21653846030117,7.99928024143129,5.2254988524218
"GSM261259",1,5.0273310123483,2.97100179948735,5.43872203272774,8.03908226315924,5.22566598673036,8.58620357065482,5.01245937073076
"GSM261260",1,4.18834888169008,2.97727842434803,5.3723903977613,7.67330016415338,5.9677731436014,8.44740212645083,4.7893905986343
"GSM261261",1,3.74486669676062,3.41307657019075,6.03500796244438,7.15323155636229,7.05373286869454,9.52716824039041,4.45949584781733
"GSM261262",1,3.15665759521766,3.34309072960812,6.42769335897594,6.53047919492903,7.76320666494511,9.91116504706517,3.9261060290794
"GSM261263",1,3.88053599047623,3.13728815671168,6.24575516021085,6.9086197650318,7.50397509981167,9.39332399062227,3.20734021668985
"GSM261264",1,4.57631503071507,3.6391529360644,6.64848823776127,6.40858252016104,7.07079054711812,9.31974096743307,4.46439565381694
"GSM261265",1,3.5323112285941,2.70175522037011,4.65665458684891,8.51084234403012,5.0343314407766,8.73639488558616,4.63872156414653
"GSM261266",0,4.08547523989084,4.70778938374702,4.13982409463843,8.69136905945655,5.19402955878826,8.70247894192879,5.61737148265931
"GSM261267",1,3.06185122472379,2.93720232195124,6.76135259989091,9.90832147761241,7.21006874879186,10.3949001811903,4.90772601748927
"GSM261268",1,5.05124898829133,3.22018085968386,4.9787203496652,7.43796745666802,6.14332590192275,8.93474635288471,4.31528332852696
"GSM261269",1,4.15009474891269,3.65111683133873,5.75829969750458,8.36244861616526,5.76528927504168,8.26657598680454,5.48934830153579
"GSM261270",1,4.3323443617304,2.8384265166321,5.03301382518122,7.93719649026672,5.25818157281626,8.47137074537196,4.55769612639269
"GSM261271",1,5.80293416394034,3.50536947659277,5.33426426567604,7.25852409322441,4.91152204485358,6.81444708139727,4.50088900058481
"GSM261272",0,4.39277612550347,4.43459412983479,6.40143109893384,8.84518496420995,7.62215769438735,9.231232195117,5.25634254788654
"GSM261273",1,9.05086607654297,2.8564312949883,4.94968900998795,7.33773902840935,6.47100410073055,7.5719743270514,4.09724196154467
"GSM261274",1,8.1306457238234,3.33955460292605,6.07845968309917,6.52420788467869,7.15314439041629,8.58847517581387,4.32809427963009
"GSM261275",1,7.21296101789086,2.96392954612321,6.45444835363838,7.58709778214792,5.81772838655903,9.84317611695455,2.49352524994573
"GSM261276",1,5.46844821902447,2.90926692116289,7.53407114973217,6.49806889986692,7.33070913036988,10.1897975882789,2.63352699845519
"GSM261277",0,4.13178736558278,4.0002693701096,8.74487005959886,9.3162800611228,8.18578735866188,10.5526588840602,5.44876201266258
"GSM261278",1,7.40135469792329,3.17754106544257,4.38751649253976,6.77487614528846,7.16014216067867,10.5006253558822,5.23509430583769
"GSM261279",1,7.736608651241,3.78115789007184,4.20992981843089,6.66473434079394,6.18322202550839,8.49890599669233,5.34408946950592
"GSM261280",0,3.33598437396138,4.30602645721921,5.85158260751932,8.25564087858844,7.37780497878794,10.1142921632517,4.6162798693656
"GSM261281",1,5.28105416897538,2.86544841802758,5.89679676326611,7.95596949892801,6.65190578583029,9.40583904895177,4.71137649998438
"GSM261282",1,3.87107607746308,3.27861535310506,6.25574990297355,7.4621114896057,7.67581796029406,9.28156950877923,4.98022783438963
"GSM261283",0,4.92923608949385,4.77214688936068,7.7864970454102,9.43843249895157,8.06565733340033,10.5274907726953,5.79881742358207
"GSM261284",1,5.91872057347496,3.2404251849387,5.95560057820683,7.09574625082126,6.48021995806066,9.1934439665812,4.64982268711438
"GSM261285",1,7.26993992694169,2.60577884867427,5.4349316535868,7.38281471024131,6.25664463326833,9.03796639291526,4.90570995147902
"GSM261286",0,3.97884397813054,4.24877067269204,9.23318312205489,9.43440167311367,7.86269255215778,10.1909641448581,6.95124158675933
"GSM261287",1,5.64521205754332,3.30769999506508,5.29893327351595,7.64415340574684,4.44126795740408,6.95194288338368,5.31609422376861
"GSM261288",1,6.46190975393861,3.18202015923986,5.29155368060747,7.2440376734618,4.72881448355709,7.69829255785802,5.08600750037063
"GSM261289",1,4.44360805512085,3.85559335672941,5.23443330221259,6.31265091132348,6.3427574471282,8.18429929714218,5.0410160525722
"GSM261290",1,6.21661030851266,3.45088365796655,5.38986002229356,6.27272118227443,5.67868573395443,7.64549366037633,4.80579984476838
"GSM261291",1,6.70105294154028,3.16086233459214,4.45639975145303,7.83600639289952,4.76040750245554,6.04540258528724,4.76734147163609
"GSM261292",1,7.42439494997851,3.89905824719651,4.92097529984765,8.01678995478161,4.63949231363019,6.73277544544549,5.02557655970887
"GSM261293",0,3.07738497351308,4.56248404483631,6.70231097163555,8.98910795377236,7.42950799946423,10.1772177491527,5.99172176499349
"GSM261294",1,5.21216503439125,3.6847689702631,5.29354415903902,8.49568070978705,4.76643363280771,9.10922473605853,3.90688960242471
"GSM261295",1,5.7247801660959,3.0800323721845,4.66271072335343,8.09397924652517,5.75112688725962,7.92830850267725,4.13513889857284
"GSM261296",0,3.95849785078655,4.60810007903501,6.52685241542425,9.49976448092674,7.24812540168166,10.3403168765766,5.74453676024273
"GSM261297",1,4.26909947936931,3.08913789839083,6.11109082419519,7.92019336198603,6.53276702956804,8.83842604815031,3.91799072539256
"GSM261298",1,4.27175703225187,3.4282524472013,6.69880075641418,7.92728311403086,6.27174921732695,9.10770679429337,4.38298741871938
