"ID","Type","BATF2","SERPING1","EPB41L3"
"GSM2203668",1,6.04650906576371,5.00769116069026,4.48956379573328
"GSM2203669",1,1.54604888343726,1.51881149779714,3.34285741641512
"GSM2203670",1,7.87119096350698,7.24598739394774,3.98996404538086
"GSM2203671",1,4.69654704389422,4.88504676181743,3.10414212570866
"GSM2203672",1,7.16659375743262,6.61727864354413,4.16788785180498
"GSM2203673",1,6.20954430393713,6.43573689735147,3.93685876890079
"GSM2203674",1,5.60668338636085,5.42044649182336,3.7905108811451
"GSM2203675",1,6.33808167609659,6.7656687256792,5.16739642506959
"GSM2203676",1,4.91497123190521,4.74781143614595,4.28311643162684
"GSM2203677",1,6.52246484423768,5.94597770849282,4.41417163218925
"GSM2203678",1,6.64903973311538,6.11273532176406,4.78000266674099
"GSM2203679",1,7.11929441866544,5.66498168107876,4.75313494194464
