"ID","DCAF16","ADAT1","CCNA1","Type"
"GSM1256714",5.94359121620663,7.85821893739364,4.62903678858845,1
"GSM1256715",6.83496172678075,7.02068371487056,4.91435545738377,1
"GSM1256716",6.89488790088381,7.56697247608368,7.64522625163942,1
"GSM1256717",7.59811390444058,8.71165101535837,5.94010313452887,1
"GSM1256718",6.28371688313951,6.5277744692762,4.87962759034336,1
"GSM1256719",6.84705218103351,6.93745718868359,6.44622707415832,1
"GSM1256720",7.94708526966584,9.10713389969841,8.25868027921812,0
"GSM1256721",8.14346371446732,8.68461939744454,8.73462735593286,0
"GSM1256722",8.28653179219602,8.5613138481523,8.48967111035878,0
"GSM1256723",8.26346156397027,8.40591356746983,7.61937143035687,0
"GSM1256724",7.59248060269337,9.13912298424183,6.44598688626681,0
"GSM1256725",8.79387239108119,8.05733219454161,7.72779541469653,0
"GSM1256726",8.1404069085058,8.9221394081737,8.44436258417791,0
"GSM1256727",8.16930879256151,9.18425276836793,8.15851911361643,0
"GSM1256728",7.96681721317934,8.95117597688443,5.80691498919159,0
"GSM1256729",8.56546477853805,8.99302241599124,10.0546194277038,0
"GSM1256730",9.00824370153518,8.87293564218525,5.87344732321636,0
"GSM1256731",8.35320453302539,9.35279358714098,7.33146981406265,0
"GSM1256732",8.35849698644159,9.49175034395159,6.03843620133812,0
"GSM1256733",8.27164585744685,9.16830940066353,9.08116862740511,0
"GSM1256734",8.48760575858843,8.73955507670976,8.65435288099225,0
"GSM1256735",7.73763508292531,6.9164663721926,4.76440231137126,0
"GSM1256736",7.19471489066539,8.06626801456775,5.55207921971423,0
"GSM1256737",7.6483050143344,7.73544755675492,7.79775176234832,0
"GSM1256738",7.06221763330115,7.14996697999645,4.87799229451675,0
"GSM1256739",6.72094355063127,6.07490570529495,5.12431643284649,0
"GSM1256740",7.56621031409605,7.24346969372459,4.84184596753583,0
"GSM1256741",7.82502182078657,7.64339457238454,8.18999775729801,0
"GSM1256742",7.52791232679437,6.45504113835199,8.31232694875039,0
"GSM1256743",7.11669040037397,8.54736843378515,4.95786547310917,0
"GSM1256744",5.58314674285214,6.97033772240879,4.75259235314669,0
"GSM1256745",6.67033141058104,6.60468842167003,4.90752938327707,0
"GSM1256746",6.84280714691098,7.32571583638874,5.39571184523145,0
"GSM1256747",6.82085620588817,7.29637291682453,4.87821201304814,0
"GSM1256748",7.11410786075821,8.15700752619307,7.84978105387071,0
"GSM1256749",6.31432651309291,7.41445376357469,4.86784511520989,0
"GSM1256750",7.97252087451016,7.38580324493648,4.85591800631335,0
