"ID","Type","MMP11","PKMYT1","IQGAP3","INHBA","BGN","CTHRC1","P4HA3","PRC1","ARHGAP20","NPR1","HSPB6","CLEC3B","PGM5","SAMD5","GSTM5","HBB","TMEM88","SEMA3G","NDRG2","ITM2A","CX3CL1","EGR2","EIF3L"
"TCGA-BH-A8G0-01A","1",7.90992274944848,3.72514393237262,3.65390301487904,7.11615474555139,10.5351439669386,10.0197006113077,5.20354914705666,4.06196977987932,3.42541350485779,5.51937005909768,5.41230672663927,6.35642831382119,4.90595287620049,4.54651050839529,4.51697046750257,7.81835363569499,4.98157896018533,6.17867226850517,7.75690317963455,7.9341226907169,7.02560046229232,7.04490507869945,9.66605310547304
"TCGA-A8-A082-01A","1",10.2764057582598,5.73147004651902,5.86111653332835,7.48044186328293,9.58161855630941,8.9580159975423,4.34574458232289,4.57401521664044,2.41021467840857,3.71133412760153,2.3450377685902,6.25014321791029,3.59887866144934,3.34623919459252,2.69486874128004,3.85438133882136,3.62579134260844,8.1348461710072,7.22014001935069,4.11092754083237,6.77313549746522,5.2716688509107,9.56358310312102
"TCGA-A2-A0EN-01A","1",8.53452516569377,3.61065086754355,4.23393957116164,7.59036017367564,10.639270669988,9.29883289840552,4.56727078165394,3.82074925483439,3.22877551097197,5.1347303066775,5.20486295908348,4.86236585394923,4.30552745631235,2.98452194660131,3.54167103212723,4.86187825288892,4.01918383320903,6.15523823358045,6.924236346391,7.04769914856604,5.03732484382433,6.15499720762805,8.87322855773782
"TCGA-A7-A13E-11A","0",3.22166429151102,2.19803447118748,2.15442322818858,3.79255155591244,8.51560075173755,6.82342033595982,2.93347607773528,5.42646590641694,6.36136320391188,7.99424934388144,8.49730650374913,10.4836544423189,6.12490389985873,4.9469855888366,5.39022866101813,13.0782043388187,6.71776902361812,8.63495602751751,8.2130892174176,8.5945549703823,7.06773160913634,6.77910534652947,9.74067852351567
"TCGA-AR-A24X-01A","1",7.2664608672695,4.52558037910529,5.34325007676532,8.66383890569207,9.97394623396176,9.599708606648,5.14727642556158,4.12246028887698,2.75856635245259,4.26803384522074,3.63330670640546,4.76790054016355,3.42818080699338,3.14265773758385,2.1116913973742,5.99322900882352,3.65213585445616,4.56997582752328,6.4478592955009,6.60675708818112,4.98155531655068,7.45316509554927,9.61401614355066
"TCGA-A7-A13E-01B","1",4.50208278755473,2.7255929357862,5.33600057002553,8.73386649072747,6.56322489037691,9.21922549790128,3.46940573662087,6.17095334553401,2.88584675944913,2.56845582684241,1.97628966046105,1.38590760983206,3.14908038975279,2.69948199362941,2.10056179561746,6.29782298756344,1.875496219058,3.44949854155689,6.05072605093731,6.25066440485992,3.54400724341623,5.48434196774507,7.58156419308331
"TCGA-OK-A5Q2-01A","1",7.56837569374049,6.25604640756255,6.37999995073273,5.94181469715693,10.3663083899842,8.64605720781335,4.17090185029795,4.28980510851,2.78125224980835,5.44686037288908,5.9331397228001,6.19556689146313,5.16251281269349,4.61710035519899,4.38318775960893,8.89080236811388,5.00528790242223,6.04693730738464,7.46494583819079,7.63653562160056,7.68270793419807,6.18557671770662,9.4575810572538
"TCGA-D8-A142-01A","1",9.7757417962728,5.82766016965084,6.76706449618935,8.4772232076791,10.9728714030273,9.71361567674774,5.41090127144632,3.9912180080305,2.81602113359417,4.28064255711807,2.97880511509337,3.32027170060269,3.37158895581733,2.93276699381154,2.87146406916139,3.9719078596779,3.59640697568822,4.76697615671914,8.09254854797572,5.22305185389229,5.04120387630225,6.59561982123103,9.27568585504475
"TCGA-A2-A0CS-01A","1",10.0713995021663,4.1838775936822,3.77335653502692,7.21942325668644,10.8284682389239,10.2203762068184,5.35539251710333,3.79503002908453,2.40962932979311,3.26689654380075,4.0461280773911,4.11218817641455,2.79357872187636,2.48044884356136,4.17112509819965,5.2962329194117,3.26796627872437,2.75861544722842,6.18713036574734,4.47805103740847,3.71048460007781,4.60796078794743,8.49681187735152
"TCGA-D8-A1Y0-01A","1",9.48850584985797,5.70009692049746,5.61056977852949,7.45791132304649,9.63862257476112,9.05529313647121,4.39503568714996,4.40390747714005,4.16320427781084,4.57254035607297,3.37884331878638,4.96796662548054,5.0305130945932,3.10701836437559,3.09729667924084,7.15044923620882,4.05739705178873,5.53456174045845,7.46538527634142,7.41277902801898,5.60817560531079,8.27188563191229,9.26287562428713
