"ID","Type","PRDX4","CHI3L1","STEAP1","SCG2","SLC16A10","GSN","ZBTB16","PFKFB3"
"OA_tissue_3","1",8.56346244896875,9.55400117783205,7.85336381715852,5.47702562690879,5.3053868667289,10.3151456284962,6.92670799003116,7.21521174554166
"OA_tissue_4","1",9.00308227850775,10.4400056550334,7.87780561438763,6.13192133475949,4.30517763032417,10.476076305477,6.33191157539538,7.38221774874071
"OA_tissue_5","1",9.09158612384633,11.4483484633726,7.27336746811971,7.01227569858105,3.7251313443339,9.67915781869456,5.54650598678022,7.21300974894405
"OA_tissue_6","1",8.45129999859512,6.90702842915153,7.55663499484331,2.82030245671235,4.51081499506526,9.52849256652768,4.66806539463302,6.51311935667514
"OA_tissue_7","1",9.03367173676904,10.4395410391877,7.8016747394197,6.25164542523352,4.6478123984335,9.59574504628961,3.62689222060884,6.672433068657
"OA_tissue_8","1",8.5936554957469,10.2906533778665,5.84268530883955,4.79509095976281,3.35667948634417,10.3899031027351,5.91337633172539,8.57893968865943
"OA_tissue_9","1",7.17033415440787,6.5482990324335,5.78732601604145,4.03222219828573,4.49666562364906,10.7998755647742,7.05870535025925,8.45424956253698
"OA_tissue_10","1",8.09455409032692,10.7951053164534,6.41476003586793,6.75275003717994,3.34718229880412,9.56016014003554,5.58260303330221,7.15654516488808
"OA_tissue_11","1",8.23823886168085,10.1444263254967,5.86196870330385,4.54428217125958,2.63417202950739,10.8914410272233,5.57830415819563,7.67503922120067
"OA_tissue_12","1",8.43152869153785,9.2803133959242,6.44414843946263,5.28204972140863,3.40595583376527,9.766245594548,4.03841035680319,7.72626200009346
"OA_tissue_13","1",8.44795143011619,10.9779504512174,6.4198627937498,4.65435536027827,4.38339459181114,10.1953290924807,6.30036079119853,7.77385034301014
"OA_tissue_14","1",8.26892271891757,8.46891798559119,5.72690101138122,4.54195850778287,3.01747284842696,11.3159963238214,4.77598642771448,7.7450491142011
"OA_tissue_15","1",8.94983874260748,13.1963171117834,6.31689803036827,4.10965401037121,5.75317934600305,9.96952942747968,6.25753807415498,8.08172162093048
"OA_tissue_16","1",9.22490522587613,11.665304739284,8.04714042129083,7.19024779594607,3.94448200052657,9.00149412619796,5.64478179747927,6.05346649579761
"OA_tissue_17","1",10.2217059631173,11.1177380098903,8.55449642892748,6.27833494785887,7.4137416118088,8.84367278486473,5.45453781530004,6.76194617328247
"OA_tissue_18","1",9.68303056544613,10.6238475361797,8.50216607102646,5.59991060341229,5.48458066684715,8.70477720287099,4.88415695070756,6.74600451243476
"OA_tissue_19","1",9.55596781461162,13.4402936156688,8.81610749186797,8.58850700182034,5.26364548371507,8.53556831326112,3.67415604291438,6.33348672783958
"OA_tissue_20","1",8.76489067898061,10.6977146399052,7.8224935089823,6.67263169546981,3.53576984578675,9.70939444105236,6.31334625991258,6.39351639712277
"OA_tissue_21","1",9.02118358608494,9.01602863740633,8.1342010219683,5.00690431411463,4.78795577688907,8.57443939871095,4.95057231269123,5.93204642835493
"OA_tissue_22","1",8.80687650705464,10.5422354319089,7.72954777644151,6.50184186756136,5.76947956694542,9.92434631690344,6.61157450498782,6.46817633985259
