ID,ASPN,ISLR,SCN2B,HTRA1,HMGN2,SERPINA3,HMOX2,FCN3,GGT5,LAD1,ITPK1,FLII,FAM89B,TRIM8,Type
S148,7.893704142,8.269218195,4.535118458,10.63054918,7.389106972,3.197130706,-0.830841846,6.735605543,5.023482644,2.395986241,4.640817927,5.591271361,5.611608994,7.205503055,1
S149,7.602994143,6.975926184,5.426846021,4.096250309,8.908331154,-9.236396977,6.197838716,5.04969186,4.494647371,3.386360327,5.882392111,5.915413469,4.921664823,7.849284692,1
S150,6.585765443,3.43323656,4.332434493,7.198301693,5.932510573,14.79136286,12.68560647,7.107064269,6.478172443,5.550671604,7.627742387,9.482831836,5.953286029,7.863485013,0
S151,8.741971126,5.079524986,4.37034002,9.387395613,7.803056495,19.88996091,15.97912355,12.85221688,6.585497921,9.818370086,7.78074275,10.0199735,10.38216616,9.137461839,0
S152,6.539545694,4.523969936,6.019111136,6.435526786,9.625390717,13.99022209,10.89155734,7.558105796,5.743522764,2.979926472,6.966790318,7.213790327,6.885692944,7.68196383,1
S153,8.434929917,7.294013009,5.623390986,14.40052629,9.035547143,-0.505612347,10.58386319,6.607418762,5.936742899,2.087764344,6.88411733,7.95989066,5.450030983,7.258351985,1
S154,6.186065611,4.730293032,3.716438451,2.152359397,6.628152227,23.33214575,18.179887,12.32802074,7.672553643,5.506930621,7.336481862,8.293882522,9.755723002,9.98975567,0
S155,5.075542604,2.627591589,4.549380779,-1.929981847,8.109334832,19.01230293,15.75513949,6.188429066,7.070072051,5.330776109,5.660882644,8.63901348,6.985836679,6.044249212,0
S156,6.998912866,4.633226529,3.733416419,5.630333795,5.577291119,26.27473887,17.64839625,15.03430662,6.689567415,7.161142563,8.470137205,8.282724209,11.05953183,7.731847404,0
S157,6.245312102,1.753813149,4.326231335,4.376651394,6.918361483,27.37672534,21.10445009,14.92181737,6.794533,7.945601231,6.637836193,9.642620574,10.97792899,8.967532009,0
S158,5.316576589,3.214166981,3.91921122,1.123130859,8.214504373,37.85540999,10.29232357,13.86524506,7.716718572,5.744566175,6.011338399,7.252729032,8.035537015,7.973690103,0
S159,5.776445358,3.609076764,4.153167608,3.996777726,8.546902417,19.92650544,14.08566313,10.61264306,6.586648192,9.062570902,8.089575112,7.971070109,8.059161489,7.895935901,0
S160,6.797320972,6.538758032,4.893628831,6.690331655,9.317553133,10.73982503,9.2241311,8.917063219,6.087900851,3.73275787,6.531964945,9.215641773,6.004668886,8.523646145,0
S161,6.71440784,6.227716319,4.847209996,6.831643853,9.966255155,14.02528527,13.27395165,6.279371113,6.944034076,8.175900984,6.843317523,8.245386019,5.391596715,7.947615372,0
S162,7.860794734,4.993369429,5.285835637,8.781755266,7.971468752,10.43674938,10.48870093,6.374782045,5.409267811,5.457082506,6.321507896,8.261935872,9.561172898,8.119591496,0
S163,4.92501309,4.791054557,3.556086284,2.651852388,9.581072142,21.75907337,11.53806231,11.00703614,6.885200116,9.235202878,6.830787873,12.33646958,7.580018813,9.697855006,0
S164,7.623050622,7.622322788,5.222370687,9.272504397,9.105159848,14.49497119,14.98355985,9.710795959,5.913059547,6.203700214,6.573832348,10.44259319,13.04253123,7.546409911,0
S165,4.769041975,0.07221039,3.630441115,1.070375144,6.513291855,22.28120678,14.7551625,8.601341459,7.485182258,4.800645128,4.980299218,8.202349596,4.409346854,6.206164211,0
S166,6.070339928,4.680722315,4.744989018,5.553723557,9.084002054,26.52154044,17.34063715,9.729911435,6.577058136,6.607545184,7.038484143,8.259108428,6.399736677,7.448679835,0
S167,6.05053983,1.715734432,4.411308823,4.163048447,8.64762761,23.93701072,15.20820747,8.376737575,7.288619867,6.54560207,5.982729294,9.616377061,7.317014597,8.222428733,0
